"lang_ietf","lang_locale","num_messages","num_trans","num_fuzzy","percent_trans"
"af","af","125","14","0","11"
"an","an","125","79","0","63"
"ar","ar","125","62","0","49"
"ast","ast","125","2","0","1"
"az","az","125","14","0","11"
"be","be","125","61","0","48"
"bg","bg","125","66","0","52"
"bn","bn","125","67","0","53"
"br","br","125","40","0","32"
"ca","ca","125","79","0","63"
"cs","cs","125","79","0","63"
"da","da","125","79","0","63"
"de","de","125","78","0","62"
"de-at","de_AT","125","15","0","12"
"el","el","125","79","0","63"
"en-ca","en_CA","125","14","0","11"
"en-gb","en_GB","125","14","0","11"
"eo","eo","125","79","0","63"
"es","es","125","79","0","63"
"es-ar","es_AR","125","4","0","3"
"es-pe","es_PE","125","14","0","11"
"et","et","125","64","0","51"
"eu","eu","125","79","0","63"
"fa","fa","125","56","0","44"
"fa-ir","fa_IR","125","12","0","9"
"fi","fi","125","61","0","48"
"fr","fr","125","76","0","60"
"fr-ca","fr_CA","125","14","0","11"
"fr-ch","fr_CH","125","14","0","11"
"ga","ga","125","42","0","33"
"gl","gl","125","79","0","63"
"he","he","125","41","0","32"
"hi","hi","125","7","0","5"
"hr","hr","125","74","0","59"
"hu","hu","125","62","0","49"
"hy","hy","125","19","0","15"
"ia","ia","125","31","0","24"
"id","id","125","69","0","55"
"is","is","125","78","0","62"
"it","it","125","79","0","63"
"ja","ja","125","87","0","69"
"ka","ka","125","17","0","13"
"kk","kk","125","4","0","3"
"km","km","125","16","0","12"
"kn","kn","125","2","0","1"
"ko","ko","125","60","0","48"
"lt","lt","125","79","0","63"
"lv","lv","125","57","0","45"
"mi","mi","125","23","0","18"
"mk","mk","125","16","0","12"
"ml","ml","125","8","0","6"
"ms","ms","125","56","0","44"
"mt","mt","125","42","0","33"
"my","my","125","5","0","4"
"nl","nl","125","122","0","97"
"no","no","125","58","0","46"
"nso","nso","125","14","0","11"
"oc-aranes","oc-aranes","125","11","0","8"
"os","os","125","9","0","7"
"pl","pl","125","59","0","47"
"pt","pt","125","74","0","59"
"pt-br","pt_BR","125","56","0","44"
"ro","ro","125","79","0","63"
"ru","ru","125","79","0","63"
"si-lk","si_LK","125","2","0","1"
"sk","sk","125","39","0","31"
"sl","sl","125","79","0","63"
"sq","sq","125","34","0","27"
"sr","sr","125","23","0","18"
"sr-latn","sr@latin","125","74","0","59"
"sv","sv","125","79","0","63"
"te","te","125","19","0","15"
"th","th","125","19","0","15"
"tr","tr","125","116","0","92"
"uk","uk","125","79","0","63"
"uz","uz","125","26","0","20"
"vi","vi","125","21","0","16"
"zh-hans","zh-Hans","125","79","0","63"
"zh-hant","zh-Hant","125","79","0","63"
"zh-hk","zh_HK","125","27","0","21"
"zu","zu","125","14","0","11"
